scenario,substrate_config,substrate_fraction,revassim_rate,region,year_260_slavic_share_mean,year_260_slavic_share_sd,year_260_pop_mean,run_count
slavic1,uniform,0.30,0.000,Albanian Highlands,0.837360,0.178471,318.80,10
slavic1,uniform,0.30,0.000,Adriatic Coastal,0.782906,0.188199,197.00,10
slavic1,uniform,0.30,0.000,Lower Danubian Frontier,0.891950,0.040937,689.10,10
slavic1,uniform,0.30,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.005,Carpatho-Balkan Interior,0.490014,0.076400,2427.80,10
slavic1,uniform,0.30,0.005,Pannonian Plain,0.565617,0.209961,485.90,10
slavic1,uniform,0.30,0.005,Aegean Littoral,0.387902,0.156743,793.40,10
slavic1,uniform,0.30,0.005,Peloponnese,0.351231,0.309995,88.30,10
slavic1,uniform,0.30,0.005,Albanian Highlands,0.718005,0.221372,224.30,10
slavic1,uniform,0.30,0.005,Adriatic Coastal,0.720794,0.229858,169.80,10
slavic1,uniform,0.30,0.005,Lower Danubian Frontier,0.894252,0.087331,634.40,10
slavic1,uniform,0.30,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.015,Carpatho-Balkan Interior,0.246522,0.117910,2404.90,10
slavic1,uniform,0.30,0.015,Pannonian Plain,0.391347,0.242465,426.40,10
slavic1,uniform,0.30,0.015,Aegean Littoral,0.042963,0.057519,850.90,10
slavic1,uniform,0.30,0.015,Peloponnese,0.025152,0.036224,84.50,10
slavic1,uniform,0.30,0.015,Albanian Highlands,0.105879,0.205027,248.90,10
slavic1,uniform,0.30,0.015,Adriatic Coastal,0.124391,0.244413,155.20,10
slavic1,uniform,0.30,0.015,Lower Danubian Frontier,0.839399,0.115152,581.40,10
slavic1,uniform,0.30,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.030,Carpatho-Balkan Interior,0.149002,0.104289,2455.20,10
slavic1,uniform,0.30,0.030,Pannonian Plain,0.198421,0.189927,422.60,10
slavic1,uniform,0.30,0.030,Aegean Littoral,0.002037,0.002613,845.40,10
slavic1,uniform,0.30,0.030,Peloponnese,0.001439,0.004550,119.40,10
slavic1,uniform,0.30,0.030,Albanian Highlands,0.000000,0.000000,242.70,10
slavic1,uniform,0.30,0.030,Adriatic Coastal,0.001471,0.004650,190.40,10
slavic1,uniform,0.30,0.030,Lower Danubian Frontier,0.829089,0.083604,702.00,10
slavic1,uniform,0.30,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.045,Carpatho-Balkan Interior,0.098699,0.073897,2368.80,10
slavic1,uniform,0.30,0.045,Pannonian Plain,0.140241,0.191193,432.70,10
slavic1,uniform,0.30,0.045,Aegean Littoral,0.000000,0.000000,882.70,10
slavic1,uniform,0.30,0.045,Peloponnese,0.000000,0.000000,118.80,10
slavic1,uniform,0.30,0.045,Albanian Highlands,0.000000,0.000000,277.20,10
slavic1,uniform,0.30,0.045,Adriatic Coastal,0.000000,0.000000,190.00,10
slavic1,uniform,0.30,0.045,Lower Danubian Frontier,0.865882,0.084472,695.00,10
slavic1,uniform,0.30,0.045,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.40,0.000,Carpatho-Balkan Interior,0.818064,0.055883,2281.10,10
slavic1,uniform,0.40,0.000,Pannonian Plain,0.670583,0.144905,466.80,10
slavic1,uniform,0.40,0.000,Aegean Littoral,0.850259,0.042888,879.70,10
slavic1,uniform,0.40,0.000,Peloponnese,0.804317,0.097563,124.80,10
slavic1,uniform,0.40,0.000,Albanian Highlands,0.843525,0.084641,274.50,10
slavic1,uniform,0.40,0.000,Adriatic Coastal,0.851205,0.088647,165.90,10
slavic1,uniform,0.40,0.000,Lower Danubian Frontier,0.924258,0.041255,762.60,10
slavic1,uniform,0.40,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.40,0.005,Carpatho-Balkan Interior,0.725366,0.080779,2393.70,10
slavic1,uniform,0.40,0.005,Pannonian Plain,0.480034,0.199323,457.00,10
slavic1,uniform,0.40,0.005,Aegean Littoral,0.680723,0.120594,791.60,10
slavic1,uniform,0.40,0.005,Peloponnese,0.901953,0.106631,86.50,10
slavic1,uniform,0.40,0.005,Albanian Highlands,0.837978,0.175628,289.80,10
slavic1,uniform,0.40,0.005,Adriatic Coastal,0.711055,0.366756,180.70,10
slavic1,uniform,0.40,0.005,Lower Danubian Frontier,0.889587,0.064018,723.90,10
slavic1,uniform,0.40,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.40,0.015,Carpatho-Balkan Interior,0.523882,0.119389,2341.10,10
slavic1,uniform,0.40,0.015,Pannonian Plain,0.343746,0.230470,417.50,10
slavic1,uniform,0.40,0.015,Aegean Littoral,0.346796,0.188889,874.90,10
slavic1,uniform,0.40,0.015,Peloponnese,0.176130,0.336917,86.40,10
slavic1,uniform,0.40,0.015,Albanian Highlands,0.486546,0.411817,339.70,10
slavic1,uniform,0.40,0.015,Adriatic Coastal,0.395709,0.345981,202.60,10
slavic1,uniform,0.40,0.015,Lower Danubian Frontier,0.902144,0.055697,735.60,10
slavic1,uniform,0.40,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.40,0.030,Carpatho-Balkan Interior,0.285980,0.104527,2062.10,10
slavic1,uniform,0.40,0.030,Pannonian Plain,0.272498,0.166141,518.80,10
slavic1,uniform,0.40,0.030,Aegean Littoral,0.044320,0.089374,816.90,10
slavic1,uniform,0.40,0.030,Peloponnese,0.004035,0.006517,82.20,10
slavic1,uniform,0.40,0.030,Albanian Highlands,0.133067,0.280621,233.50,10
slavic1,uniform,0.40,0.030,Adriatic Coastal,0.001439,0.004550,143.80,10
slavic1,uniform,0.40,0.030,Lower Danubian Frontier,0.932361,0.063850,791.60,10
slavic1,uniform,0.40,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.40,0.045,Carpatho-Balkan Interior,0.170683,0.077690,2329.90,10
slavic1,uniform,0.40,0.045,Pannonian Plain,0.119672,0.182209,375.50,10
slavic1,uniform,0.40,0.045,Aegean Littoral,0.021675,0.054442,717.30,10
slavic1,uniform,0.40,0.045,Peloponnese,0.000000,0.000000,91.70,10
slavic1,uniform,0.40,0.045,Albanian Highlands,0.000000,0.000000,277.90,10
slavic1,uniform,0.40,0.045,Adriatic Coastal,0.000000,0.000000,216.00,10
slavic1,uniform,0.40,0.045,Lower Danubian Frontier,0.897909,0.060435,682.80,10
slavic1,uniform,0.40,0.045,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.10,0.000,Carpatho-Balkan Interior,0.352075,0.100014,2455.00,10
slavic1,cbi_only,0.10,0.000,Pannonian Plain,0.603185,0.177616,476.60,10
slavic1,cbi_only,0.10,0.000,Aegean Littoral,0.394977,0.108032,764.10,10
slavic1,cbi_only,0.10,0.000,Peloponnese,0.447702,0.316477,111.10,10
slavic1,cbi_only,0.10,0.000,Albanian Highlands,0.573697,0.131460,290.90,10
slavic1,cbi_only,0.10,0.000,Adriatic Coastal,0.669564,0.242647,185.50,10
slavic1,cbi_only,0.10,0.000,Lower Danubian Frontier,0.842998,0.069012,692.70,10
slavic1,cbi_only,0.10,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.10,0.005,Carpatho-Balkan Interior,0.202678,0.029937,2482.30,10
